id,vgi_id,name,slug,type,games_developed,games_released,games_unreleased,revenue_sum,revenue_median,revenue_avg,self_published,indie,action,casual,adventure,simulation,strategy,rpg,mmo,racing,sports,country_name
872643,,Jampacked Games,jampacked-games,30,2,2,1,107013,107013,53507,3,0,100,0,0,0,0,0,0,0,0,Canada
27344,,Julian Laufer,julian-laufer,30,1,1,0,106967,106967,106967,0,100,100,0,100,0,0,0,0,0,0,
1728395,,Open Roads Team,open-roads-team,30,1,1,0,106936,106936,106936,0,100,0,0,100,0,0,0,0,0,0,
48627,,Propulsive Games,propulsive-games,30,1,1,0,106874,106874,106874,1,100,100,0,0,100,100,0,0,0,0,
720358,,LIGHTS ARE OFF LLC,lights-are-off-llc,30,1,1,0,106861,106861,106861,1,100,100,0,100,0,0,0,0,0,0,
1850697,,Deep Red Games Ltd.,deep-red-games-ltd,30,1,1,0,106796,106796,106796,0,0,0,0,0,100,0,0,0,0,0,
46865,,TripleBricksGames,triplebricksgames,30,3,3,1,106782,106782,35594,1,100,75,0,75,0,100,75,0,0,0,
11959,,Gamenesis,gamenesis,30,25,25,4,106719,0,4269,29,79,10,55,10,3,34,0,0,0,0,
10558,,Bs1 &amp; Bslteam,bs1-amp-bslteam,30,1,1,1,106643,106643,106643,0,100,50,50,100,50,50,0,0,0,0,
1397339,,Red Square Games,red-square-games,30,2,2,0,106595,53298,53298,2,50,100,0,0,0,0,50,0,0,0,
27995,,Armnomads LLC,armnomads-llc,30,1,1,0,106514,106514,106514,0,100,100,0,100,0,0,0,0,0,0,
636,,Humble Grove,humble-grove,30,1,1,1,106509,106509,106509,1,100,0,50,100,0,0,0,0,0,0,United Kingdom
23867,,Cel Davison,cel-davison,30,1,1,0,106509,106509,106509,0,100,0,100,100,0,0,0,0,0,0,
24864,,Hana Lee,hana-lee,30,1,1,0,106509,106509,106509,0,100,0,100,100,0,0,0,0,0,0,
26233,,Adrienne Lombardo,adrienne-lombardo,30,1,1,0,106509,106509,106509,0,100,0,100,100,0,0,0,0,0,0,
32588,,Eli Rainsberry,eli-rainsberry,30,1,1,0,106509,106509,106509,0,100,0,100,100,0,0,0,0,0,0,
25606,,Pippin Games,pippin-games,30,3,3,0,106479,37462,35493,2,100,100,33,33,0,0,0,0,0,0,
4220502,,Yuliy Oneshko,yuliy-oneshko,30,1,1,1,106378,106378,106378,1,0,0,0,0,100,0,50,0,0,0,Russia
4719119,,S-Grade,s-grade,30,1,1,1,106378,106378,106378,1,0,0,0,0,100,0,50,0,0,0,
8987,,Manic Game Studios,manic-game-studios,30,1,1,0,106358,106358,106358,1,100,0,100,0,0,0,0,0,0,0,
32356,,exDream,exdream,30,1,1,0,106325,106325,106325,0,0,100,0,100,0,0,0,0,100,0,Germany
22133,,L_Draven,l-draven,30,1,1,0,106319,106319,106319,1,100,0,0,100,0,100,0,0,0,0,
13154,,Nauris Amatnieks,nauris-amatnieks,30,4,4,0,106201,14567,26550,4,100,50,75,25,0,0,0,0,0,0,
35824,,Rhowsl,rhowsl,30,5,5,0,106195,19632,21239,0,60,60,60,60,0,60,0,0,0,0,
4604,,Victorian Clambake,victorian-clambake,30,2,2,2,106183,53092,53092,4,75,75,50,50,25,25,25,0,0,0,
31146,,Team Maniax,team-maniax,30,1,1,0,106128,106128,106128,0,100,100,100,0,0,0,0,0,0,0,
9559,,Snowy Ash Games,snowy-ash-games,30,1,1,0,106125,106125,106125,1,100,0,0,0,0,100,0,0,0,0,
31286,,Fábio Fontes,f-bio-fontes,30,1,1,0,106122,106122,106122,1,100,100,0,0,0,0,0,0,100,0,
38212,,DecentMonkey,decentmonkey,30,1,1,0,106114,0,106114,1,0,0,0,100,0,0,100,0,0,0,
26733,,Bony Yousuf,bony-yousuf,30,1,1,0,106102,106102,106102,0,100,100,100,0,0,100,0,0,0,0,
13475,,Hunter Hamster,hunter-hamster,30,1,1,0,106092,106092,106092,1,100,100,100,100,100,0,100,0,0,0,
24742,,Voxler Games,voxler-games,30,2,2,0,106045,55001,53023,0,50,0,100,0,0,0,0,0,0,0,
37829,,SUCCESS Corp.,success-corp,30,9,9,2,106042,8311,11782,10,18,55,27,36,0,0,9,0,0,0,
6709,,TK,tk,30,3,3,1,106031,328,35344,4,100,25,75,50,25,50,50,0,0,0,
2765,,Double Dash Studios,double-dash-studios,30,3,3,1,106018,53009,35339,4,75,50,50,25,0,0,25,0,0,25,
504573,,Dino Rocket,dino-rocket,30,2,2,0,106008,106008,53004,0,100,0,100,0,100,100,0,0,0,0,
